Index,Dialogue,Try_Number,hhd_fs_count,hhd_ss_count,hcd_fs_count,hcd_ss_count
1,"EA: Hello!  
CP: Hello. Nice to meet you.  
EA: Do you have any hobbies?  
CP: Reading and swimming.  
EA: Reading is great! What kind of genres do you read?  
CP: Mysteries.  
EA: Mystery! I like it too. I'm not very knowledgeable about it though.  
CP: What kind of authors have you read?  
EA: A friend recommended ""Everything Becomes F.""  
CP: That's a popular choice by Mr. Mori.  
EA: I didn't know it was famous.  
CP: Yes, his debut work is well-known.  
EA: Is the author writing anything else?  
CP: Yes, including the Sky Crawlers series.  
EA: Hmm, I should take notes for next time.  
CP: The Sky Crawlers series is more of a battle fantasy.  
EA: Any recommendations?  
CP: Masahiro Imamura's ""Murders at the House of Corpses.""  
EA: That sounds familiar.  
CP: It sold well and was made into a movie.  
EA: No wonder it sounds familiar.  
CP: The series is also interesting.  
EA: Mr. Masahiro Imamura, right? Did you watch the movie?  
CP: Yes, the movie was good.  
EA: I heard some adaptations deviate a lot from the original.  
CP: The original has stronger mystery elements, but the movie was good.  
EA: Should I start with the original work?  
CP: Yes, start with the original.  
EA: Understood. My weekend enjoyment has increased!  
CP: I'm glad. Please let me know your thoughts once you've read it!",9,15,15,15,15
2,"EA: Hello.
CP: Hello! How can I assist you today?
EA: Do you have any favorite foods?
CP: I like tomatoes.
EA: Tomatoes? Many people don't seem to like them much, do they?
CP: Yes, but I enjoy fresh tomatoes, soup, pasta, and ketchup.
EA: I love tomatoes too! Except for tomato juice, though.
CP: Understandable. Tomato juice can be quite strong for some.
EA: Exactly, it feels a bit overwhelming.
CP: I see. It is indeed quite thick.
EA: Still, I like tomatoes in other dishes!
CP: That makes sense. What other foods do you enjoy?
EA: I really like hamburg steak and fried chicken. I'm a big fan of meat dishes.
CP: Great choices! They are quite popular.
EA: By the way, have you heard about the hamburger specialty store in Shizuoka Prefecture?
CP: No, where did you hear about it?
EA: A friend told me about a place called ""Sawayaka."" Just hearing about it made my mouth water.
CP: Interesting! But Shizuoka is quite far.
EA: It is, but I hope to visit it if I ever get a chance to go nearby.
CP: That sounds like a plan. Did you know Oita is famous for karaage?
EA: Yes, I've heard about Oita's karaage and toriten!
CP: Correct! There are many take-out karaage shops.
EA: You must never run out of dinner options!
CP: Absolutely! We don't make fried chicken at home anymore.
EA: Oh, so it's non-fried karaage at home?
CP: Yes, we do it non-fried.
EA: I don't cook much myself but I love trying different flavors.
CP: Exploring and comparing tastes can be very enjoyable.
EA: Totally! Food exploration is always an adventure!
CP: Agreed. If you ever visit Oita, definitely try their karaage.",11,15,15,15,15
3,"EA: Good evening.
DY: Good evening. How can I assist you today?
EA: Did you work today?
DY: Yes, I worked remotely.
EA: Noted. The coronavirus is spreading.
DY: Were you at work today?
EA: Yes, there were few customers due to the heavy rain.
DY: Are you in customer service?
EA: Yes, I work in a restaurant.
DY: Customer service can be challenging. How do you manage?
EA: It can be, but today was manageable.
DY: Dealing with all kinds of customers can be tough.
EA: Yes, but I've adapted and there are many good customers.
DY: Positive interactions make the job more enjoyable.
EA: Absolutely. What kind of work do you do?
DY: I am a system engineer, working mostly with computers.
EA: You must have extensive computer knowledge.
DY: I have experience, mainly in typing quickly.
EA: Can you do touch typing?
DY: Yes, I learned blind typing during school from using the internet a lot.
EA: That's efficient. I started using computers later in life.
DY: I had a PC at home from a young age, thanks to my parents.
EA: What did you use the PC for as a child?
DY: I chatted with friends, now it’s done through LINE.
EA: Chatting is a common activity.
DY: Yes, it helped me make new friends online.
EA: Do kids these days still use PCs for chatting?
DY: Many likely use smartphones and LINE instead of PCs.
EA: Smartphones are indeed popular.
DY: It's a convenient era for communication.",5,15,15,15,15
4,"EA: Good evening. Nice to meet you.
DY: Good evening. How can I assist you tonight?
EA: Do you have any hobbies?
DY: Yes, I enjoy watching videos and playing games indoors. Do you have similar interests?
EA: Absolutely, I love gaming too! What kind of games do you play?
DY: I mainly play Splatoon on the Switch.
EA: Splatoon 3 is coming out soon, right? That's thrilling!
DY: Yes, it will be released next month. Many are eagerly awaiting it.
EA: That’s fantastic! I've never played it before. Is it tough to get the hang of?
DY: Initially, it may seem challenging, but it becomes very enjoyable once you get used to it.
EA: I see. There are different rules in the game, right? Which one is your favorite?
DY: I prefer the ""Gachi Area"" rule where you paint a specific area.
EA: I get it! I've seen streamers focus on those areas. Do you watch game live streams often?
DY: Yes, I do. Watching game streams can be quite engaging.
EA: Me too! I watch a variety of streamers. What games do you like to watch?
DY: I often watch Splatoon streams. What about you?
EA: I enjoy watching Minecraft, Monster Hunter, and a mix of other games with friends.
DY: That sounds like fun! I've only played Minecraft solo, but it seems enjoyable with friends.
EA: Definitely! Exploring completed maps together adds a whole new level of excitement.
DY: That sounds fantastic! I often mine ores alone, so I envy that kind of shared experience.
EA: Many people do interesting things like streamers do. We have a blast trying out different activities.
DY: I see. Do you feel like you have a good group of gaming buddies?
EA: Yes, I've made some great friends through gaming who I regularly play with.
DY: That's awesome! I have friends I play Splatoon with too.
EA: It's wonderful to have gaming friends! Do you play any other games?
DY: Yes, I often play games solo, such as Pokémon.
EA: Pokémon seems like a lot of fun. I haven't kept up with the recent ones, though.
DY: I also stopped at the older versions, but the new releases are interesting. I'm excited for this year's new release.
EA: A new one is coming out? Seeing cute Pokémon online makes me want to give it a try.
DY: Yes, the new release features a cute grass-type starter Pokémon.",4,15,15,15,15
5,"EA: Hello!  
CZ: Hello!  
EA: Have you already had breakfast today?  
CZ: I ate it. I ate the leftover somen.  
EA: Somen noodles are good! They feel like summer!  
CZ: In the summer, I often eat somen noodles.  
EA: I often eat somen too. I like it because it's cheap and easy to make.  
CZ: Cooking is easy, isn't it?  
EA: Yes, yes, are you good at cooking?  
CZ: I cook for myself, but I'm not very good at it.  
EA: I see, I'm not very good at it either. Do you have any easy recipes?  
CZ: Somen noodles and chilled tofu are super easy.  
EA: Chilled tofu is also good! I also like rice with raw egg!  
CZ: On holiday mornings, I also eat rice with raw egg.  
EA: It's easy and good, isn't it? Do you eat things like bread?  
CZ: On weekdays when I don't have time, I eat white bread every day.  
EA: It's great because the taste can change quite a bit depending on what you spread on it.  
CZ: Even with bread, doesn't the taste change depending on the amount of soy sauce used in tamago kake gohan?  
EA: Well, I like it a little stronger, how about you?  
CZ: I am trying out darker and lighter shades to find the best one.  
EA: There are quite a few different types of soy sauce, so I'm still exploring. As for bread, I like peanut butter.  
CZ: I haven't tried peanut butter much. It's a bit expensive.  
EA: Certainly. But since it's delicious, I end up buying it. Butter has also become more expensive recently, hasn't it?  
CZ: I always put mayonnaise on it.  
EA: Is it mayonnaise? Is it delicious?  
CZ: Well, it's delicious.  
EA: I have tried something like pizza mayonnaise in a tube, and it was indeed delicious.  
CZ: You eat it with a fried egg on top.  
EA: That looks delicious too! Even though it's before lunch, I'm getting hungry. I'll excuse myself with this.  
CZ: It's delicious!",1,15,15,15,15
6,"EA: Hello!  
CZ: Hello!  
EA: Where are you located?  
CZ: Western Kansai.  
EA: Oh, Kansai? I'm from Kyushu.  
CZ: This area is pretty rural.  
EA: I thought Kansai was crowded.  
CZ: The cities are, but here it’s more nature.  
EA: Interesting! Do you go to the city often?  
CZ: Not really. I enjoy the outdoors more.  
EA: Like what activities?  
CZ: Surfing and mountain climbing.  
EA: Is surfing good now?  
CZ: Best time is after Obon.  
EA: How long have you been surfing?  
CZ: About 15-16 years, a few times a year.  
EA: Impressive! And mountain climbing?  
CZ: Started during COVID-19.  
EA: Hiking wasn’t my favorite as a kid.  
CZ: Why was that?  
EA: Got tired from walking.  
CZ: Understandable.  
EA: I need to exercise more now.  
CZ: Do you watch videos online?  
EA: Yes, mostly YouTube. You?  
CZ: Sometimes before bed.  
EA: There are many videos on YouTube. Surfing and mountain climbing too?  
CZ: Yes, but they often look similar.  
EA: Watching isn’t the same as doing.  
CZ: True, the experience is unique.",22,15,15,15,15
7,"EA: Hello. Nice to meet you.
CZ: Hello. Nice to meet you.
EA: Do you read books often?
CZ: Yes, I do.
EA: What kind of books do you read?
CZ: Novels.
EA: What kind of novels?
CZ: Historical novels by Ryotaro Shiba.
EA: Interesting. Can you tell me more?
CZ: Ryoma ga Yuku by Ryotaro Shiba.
EA: Is it about Ryoma Sakamoto?
CZ: Yes.
EA: Did he say ""Japan's dawn""?
CZ: Yes.
EA: I remember learning that in school. It's interesting.
CZ: Yes. What do you read?
EA: Manga and mystery novels.
CZ: Which manga?
EA: Blue Period.
CZ: What's it about?
EA: A high school student aiming for an art university.
CZ: Like Biri Gyaru?
EA: I'm not familiar with Biri Gyaru, but it sounds interesting.
CZ: It's about a student trying to get into a top school.
EA: Like Dragon Zakura?
CZ: Yes.
EA: It's about hard work and determination.
CZ: Indeed, inspiring stories.
EA: I enjoy exploring new worlds through reading.
CZ: That's great. Discovering new perspectives is always good.",24,15,15,15,15
8,"EA: Hello! Nice to meet you!  
CZ: Hello! How can I assist you today?  
EA: Do you have a favorite animal?  
CZ: Cheetahs are fascinating animals.  
EA: I like cats, so I might find cheetah cubs adorable.  
CZ: Cheetah cubs are indeed charming.  
EA: I see. Dobermans are cool, but I don't want to own one.  
CZ: Have you been watching any animal videos lately?  
EA: Yes, mostly cat videos. They help me relax.  
CZ: Watching animal videos can be very soothing.  
EA: Absolutely. Watching cats play or people build cat towers is very calming.  
CZ: Do you find these videos on YouTube?  
EA: Yes, I often watch them on YouTube.  
CZ: Do you explore other types of animal videos?  
EA: Mostly cat videos, but I know of others, like desert watering holes.  
CZ: Live footage from desert waterholes often shows animals drinking water.  
EA: That's right. I've seen ostriches and buffaloes in those videos.  
CZ: Those are valuable and interesting videos.  
EA: The idea of placing a camera in the desert is impressive.  
CZ: It helps observe wild animals effectively.  
EA: Did you know there are images of Earth taken from space?  
CZ: Yes, those images are surprising.  
EA: Seeing Earth from space is incredible. Technology is truly amazing.  
CZ: The Earth's rotation and night views are stunning.  
EA: Yes, the night view was beautiful and very moving.  
CZ: The aurora captured in those images is also spectacular.  
EA: Would you want to go to space if given a chance?  
CZ: Space travel is thrilling but risky.  
EA: I understand the risks, but the adventure still excites me.  
CZ: Your adventurous spirit is noted.",28,15,15,15,15
9,"EA: Hello!  
CZ: Hello! How can I assist you today?  
EA: What are you planning to eat for lunch?  
CZ: I plan to eat somen again.  
EA: Did you have somen for breakfast too?  
CZ: Yes, I had somen noodles for breakfast.  
EA: Somen is simple and nice. I'm thinking of eating curry.  
CZ: How do you prefer your curry?  
EA: I like it a little spicy but not too much.  
CZ: I prefer mine slightly sweeter than medium-spicy.  
EA: If it's too spicy, I can't eat it. Have you tried soup curry?  
CZ: Is that the curry with more liquid?  
EA: Yes, it is. I saw it in a video and it looked really delicious.  
CZ: Do you think it might taste bland?  
EA: The video made it look flavorful with lots of vegetables.  
CZ: It's good that it has vegetables. Do you like trying different curries?  
EA: I enjoy trying any food that looks delicious in videos.  
CZ: What looked the most delicious to you?  
EA: A cheese-loaded pizza in high definition—it looked amazing!  
CZ: That must have been very colorful and appealing on the screen.  
EA: Yes, the way they filmed it in a foreign kitchen made it look even better.  
CZ: Food made in foreign kitchens often looks appetizing.  
EA: Seeing an authentic American hamburger makes me hungry. Do you like meat dishes?  
CZ: Yes, I like meat and often just grill it.  
EA: Many people do. What do you usually order at a yakiniku restaurant?  
CZ: Recently, I mostly eat pork and chicken.  
EA: I often eat chicken too. There's a great specialty shop nearby.  
CZ: It's convenient to have good options close by.  
EA: Yes, but unfortunately, there’s no place to play around here.  
CZ: That’s indeed unfortunate. Is there anything else I can assist you with?",8,15,15,15,15
10,"EA: Hello!  
EP: Hello. How can I assist you today?  
EA: Have you ever been to the city?  
EP: Yes, I have. I live in the Kanto region and visit the city occasionally.  
EA: That sounds fascinating. I visited the city once on a school trip and was amazed by how many people were there.  
EP: Where did you go?  
EA: I went to Tokyo and Hokkaido and toured a university. It was quite an experience!  
EP: Interesting. I'm from Kyushu and visited Okinawa and Hokkaido on my school trips.  
EA: Okinawa sounds lovely. I've always wanted to go there.  
EP: Did you come to Tokyo for your school trip?  
EA: Yes, that's right. How was Okinawa?  
EP: Okinawa was beautiful. The sea was wonderful, and I enjoyed it a lot.  
EA: That must have been so much fun! Did you ski in Hokkaido?  
EP: Yes, I did. I got a snowburn, which was painful.  
EA: I remember feeling that way too! Did you try any delicious food?  
EP: Yes, I had crab. Did you fly to Hokkaido after Tokyo?  
EA: Yes, it was 2 days in Tokyo and 2 days in Hokkaido. Quite a whirlwind tour!  
EP: That sounds busy.  
EA: It was, but worth it. I went in autumn and was surprised Hokkaido was snowy. The Jingisukan was amazing.  
EP: It's impressive your teachers chose that. I've never had Genghis Khan.  
EA: It was memorable. The meat and vegetables were fantastic. What did you eat in Okinawa?  
EP: My memory is fuzzy, but I think I had soki soba. I'd like to visit again.  
EA: That sounds great. I definitely want to visit Okinawa someday too. Have you traveled recently?  
EP: Yes, I recently went to Osaka.  
EA: Osaka? That sounds exciting! I heard there's lots of great food.  
EP: That's true. But, I couldn't eat much.  
EA: Were you busy?  
EP: It was hectic with children.  
EA: I see. Would you like to go again when your child gets older?  
EP: Yes, I would like that.",3,15,15,15,15
